batch,condition_order,condition,source_condition,encoding,source_row,n,method,round,reps,wall,cpu,calls,transitions
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,24,512,STATIC_ANTI,3,32,0.014069899916648865,0.015625,49152,612889
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,25,4096,STATIC_ANTI,3,32,0.038156500086188316,0.03125,393216,4937461
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,26,4096,BINARY,3,4,0.11790750082582235,0.078125,49152,614359
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,27,512,MERGE,3,4,0.01328049972653389,0.0,6144,76905
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,28,4096,MERGE,3,4,0.03765220008790493,0.015625,49152,614359
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,29,4096,STATIC_CRN,3,32,0.03808890003710985,0.046875,393216,4919186
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,30,512,BINARY,3,4,0.02114420011639595,0.015625,6144,76905
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,31,512,STATIC_CRN,3,32,0.013512499630451202,0.03125,49152,614826
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,32,512,STATIC_ANTI,4,32,0.013990900479257107,0.015625,49152,621835
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,33,4096,BINARY,4,4,0.11319360043853521,0.078125,49152,614559
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,34,4096,STATIC_CRN,4,32,0.038009400479495525,0.046875,393216,4906802
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,35,4096,MERGE,4,4,0.03608980029821396,0.046875,49152,614559
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,36,512,BINARY,4,4,0.021243800409138203,0.015625,6144,76810
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,37,4096,STATIC_ANTI,4,32,0.03801009990274906,0.03125,393216,4920652
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,38,512,MERGE,4,4,0.013873900286853313,0.015625,6144,76810
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,39,512,STATIC_CRN,4,32,0.013621400110423565,0.015625,49152,617459
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,0,4096,BINARY,0,4,0.11585009936243296,0.109375,49152,616383
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,1,512,BINARY,0,4,0.021339500322937965,0.015625,6144,76959
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,2,512,STATIC_ANTI,0,32,0.014457800425589085,0.015625,49152,617140
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,3,4096,STATIC_ANTI,0,32,0.03958369977772236,0.046875,393216,4921832
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,4,512,MERGE,0,4,0.01318269968032837,0.0,6144,76959
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,5,512,STATIC_CRN,0,32,0.013856499455869198,0.015625,49152,608952
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,6,4096,STATIC_CRN,0,32,0.03957080002874136,0.046875,393216,4922406
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,7,4096,MERGE,0,4,0.03701240010559559,0.03125,49152,616383
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,8,4096,STATIC_CRN,1,32,0.0393066992983222,0.046875,393216,4932383
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,9,512,STATIC_CRN,1,32,0.014044900424778461,0.015625,49152,615728
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,10,4096,STATIC_ANTI,1,32,0.039797999896109104,0.03125,393216,4923708
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,11,4096,BINARY,1,4,0.11574769951403141,0.109375,49152,616384
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,12,512,STATIC_ANTI,1,32,0.014108799397945404,0.015625,49152,619064
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,13,512,MERGE,1,4,0.013561500236392021,0.015625,6144,77108
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,14,4096,MERGE,1,4,0.03645739983767271,0.03125,49152,616384
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,15,512,BINARY,1,4,0.02068719919770956,0.015625,6144,77108
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,16,512,STATIC_CRN,2,32,0.013618200086057186,0.015625,49152,612734
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,17,512,BINARY,2,4,0.020735199563205242,0.03125,6144,77131
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,18,4096,STATIC_CRN,2,32,0.038691299967467785,0.03125,393216,4935544
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,19,512,STATIC_ANTI,2,32,0.013980299234390259,0.015625,49152,620042
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,20,4096,MERGE,2,4,0.036352300085127354,0.03125,49152,616421
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,21,4096,STATIC_ANTI,2,32,0.03940320014953613,0.03125,393216,4924008
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,22,512,MERGE,2,4,0.015017000027000904,0.015625,6144,77131
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,23,4096,BINARY,2,4,0.11307960003614426,0.109375,49152,616421
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,24,4096,STATIC_ANTI,3,32,0.03872079961001873,0.03125,393216,4945694
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,25,4096,BINARY,3,4,0.11782809998840094,0.109375,49152,616431
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,26,512,BINARY,3,4,0.021408299915492535,0.015625,6144,77079
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,27,512,MERGE,3,4,0.013133800588548183,0.015625,6144,77079
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,28,4096,STATIC_CRN,3,32,0.03970499988645315,0.03125,393216,4938143
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,29,4096,MERGE,3,4,0.03648710064589977,0.03125,49152,616431
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,30,512,STATIC_ANTI,3,32,0.014432200230658054,0.015625,49152,618790
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,31,512,STATIC_CRN,3,32,0.013983000069856644,0.015625,49152,619730
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,32,512,STATIC_ANTI,4,32,0.014431999996304512,0.015625,49152,613730
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,33,4096,BINARY,4,4,0.11708940006792545,0.109375,49152,616274
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,34,512,BINARY,4,4,0.022485699504613876,0.0,6144,77128
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,35,4096,STATIC_CRN,4,32,0.04132489953190088,0.046875,393216,4915721
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,36,512,STATIC_CRN,4,32,0.01478820014744997,0.015625,49152,617785
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,37,4096,MERGE,4,4,0.03881410043686628,0.03125,49152,616274
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,38,512,MERGE,4,4,0.013428599573671818,0.015625,6144,77128
ordering_2026-09-12,2,case_02_recent,law1_recent,recent,39,4096,STATIC_ANTI,4,32,0.040052699856460094,0.046875,393216,4923974
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,0,4096,MERGE,0,4,0.0413653003051877,0.03125,49152,616334
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,1,512,STATIC_CRN,0,32,0.014254199340939522,0.015625,49152,615516
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,2,4096,STATIC_CRN,0,32,0.04071830026805401,0.046875,393216,4943995
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,3,512,MERGE,0,4,0.013482300564646721,0.015625,6144,77142
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,4,512,BINARY,0,4,0.021598700433969498,0.015625,6144,77142
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,5,4096,STATIC_ANTI,0,32,0.04020759928971529,0.03125,393216,4922482
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,6,4096,BINARY,0,4,0.1798415994271636,0.15625,49152,616334
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,7,512,STATIC_ANTI,0,32,0.016424999572336674,0.015625,49152,612056
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,8,512,STATIC_ANTI,1,32,0.016348499804735184,0.015625,49152,618566
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,9,512,BINARY,1,4,0.024013299494981766,0.03125,6144,76982
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,10,4096,MERGE,1,4,0.04088169988244772,0.03125,49152,616425
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,11,512,MERGE,1,4,0.015226200222969055,0.015625,6144,76982
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,12,512,STATIC_CRN,1,32,0.01539550069719553,0.015625,49152,617935
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,13,4096,BINARY,1,4,0.12405049987137318,0.109375,49152,616425
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,14,4096,STATIC_CRN,1,32,0.042641500011086464,0.046875,393216,4923367
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,15,4096,STATIC_ANTI,1,32,0.04105080012232065,0.046875,393216,4913980
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,16,4096,BINARY,2,4,0.11790670081973076,0.09375,49152,616393
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,17,512,BINARY,2,4,0.02128839958459139,0.03125,6144,77032
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,18,4096,STATIC_CRN,2,32,0.039482600055634975,0.03125,393216,4929549
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,19,512,STATIC_ANTI,2,32,0.014529500156641006,0.015625,49152,616254
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,20,512,MERGE,2,4,0.013448900543153286,0.015625,6144,77032
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,21,4096,STATIC_ANTI,2,32,0.039322299882769585,0.03125,393216,4928182
